name,date,round,day,race_no,back_no,violation_time,violation_place,judgment
강동국,2023-10-20,41,1,2,1,5 주회,BS,주의
강동국,2025-01-24,4,1,1,2,5 주회,BS,주의
강동국,2025-04-05,14,2,4,3,5 주회,BS,주의
강동규,2022-02-27,8,3,11,6,4 주회,2코너,주의
강동주,2025-04-27,17,3,5,1,3 주회,3코너,주의
강동진,2024-01-07,1,3,1,3,5 주회,BS,주의
강민성,2024-04-13,14,2,8,2,5 주회,HS,경고
강병석,2026-03-15,11,3,4,5,4 주회,4코너,주의
강병철,2023-11-10,44,1,8,4,5 주회,BS,주의
강병철,2023-11-17,45,1,10,2,5 주회,BS,주의
강병철,2024-07-05,26,1,11,1,5 주회,BS,주의
강병철,2024-10-03,39,1,7,1,5 주회,결승선전,경고
강병철,2024-11-01,43,1,9,1,5 주회,BS,주의
강성욱,2022-10-15,41,2,14,6,5 주회,3코너,주의
강양한,2022-09-18,37,3,2,3,5 주회,BS,주의
강준영,2022-02-04,5,1,12,5,5 주회,BS,주의
강준영,2022-02-06,5,3,14,1,5 주회,3코너,주의
강준영,2022-12-23,51,1,9,3,5 주회,3코너,주의
강준영,2023-01-27,4,1,16,1,5 주회,BS,주의
강준영,2024-08-11,31,3,3,5,5 주회,3코너,경고
강진남,2022-07-10,27,3,15,2,5 주회,1코너,주의
강진남,2026-02-01,5,3,13,1,5 주회,1코너,주의
강진원,2022-02-26,8,2,10,1,5 주회,1코너,주의
강진원,2026-01-10,2,2,7,1,5 주회,1코너,주의
강철호,2023-08-12,32,2,3,3,5 주회,BS,주의
강철호,2025-06-14,24,2,3,5,5 주회,결승선전,경고
강형묵,2023-11-04,43,2,11,4,5 주회,결승선전,경고
고광종,2023-12-01,47,1,2,3,5 주회,1코너,주의
고광종,2025-08-23,34,2,7,3,5 주회,BS,주의
고광종,2025-10-17,41,1,6,3,5 주회,BS,주의
고병수,2022-05-20,20,1,11,4,5 주회,BS,주의
고요한,2022-03-05,9,2,8,3,5 주회,3코너,주의
고재성,2022-09-02,35,1,3,2,4 주회,HS,주의
고재준,2022-09-25,38,3,12,2,5 주회,BS,주의
고재준,2023-04-01,13,2,11,3,4 주회,3코너,주의
고재준,2023-09-24,38,3,4,2,3 주회,3코너,주의
고재준,2025-06-06,23,1,11,1,5 주회,BS,주의
고재준,2025-10-19,41,3,2,3,3 주회,4코너,주의
고종인,2025-10-24,42,1,7,1,4 주회,HS,경고
공동식,2024-12-15,49,3,5,2,5 주회,BS,주의
